species,genus,family,stomatal density,Stomatal length/size,plant functional group/1-tree/2-shrub/3-herb
Mitrephora_thorelii,Mitrephora,Annonaceae,282.0777434,26.13996724,1
Psychotria_yunnanensis,Psychotria,Rubiaceae,30.95975232,25.316485,2
Garcinia_cowa,Garcinia,Clusiaceae,NA,NA,1
Alpinia_roxburghii,Alpinia,Zingiberaceae,44.71964224,35.32685167,3
Myristica_yunnanensis,Myristica,Myristicaceae,41.27966976,35.70434,1
NA,NA,NA,378.3969728,25.19238233,1
Ostodes_paniculata,Ostodes,Euphorbiaceae,412.7966976,21.248908,1
Boehmeria_glomerulifera,Boehmeria,Urticaceae,65.35947712,17.12389889,2
Croton_cascarilloides,Croton,Euphorbiaceae,632.9549364,19.058345,2
Allophylus_cobbe,Allophylus,Sapindaceae,581.3553492,14.81367433,1
Walsura_pinnata,Walsura,Meliaceae,51.5995872,18.08350889,1
Xanthophyllum_flavescens,Xanthophyllum,Polygalaceae,206.3983488,20.60620067,1
Ficus_sagittata,Ficus,Moraceae,199.5184039,21.40844042,3
Silvianthus_bracteatus,Silvianthus,Carlemanniaceae,51.5995872,33.59099333,2
Lasianthus_verticillatus,Lasianthus,Rubiaceae,106.6391469,28.22427,2
Acacia_pennata,Acacia,Fabaceae,61.91950464,26.135485,3
Schefflera_chinensis,Schefflera,Araliaceae,213.2782938,26.41389259,1
Cryptocarya_yunnanensis,Cryptocarya,Lauraceae,NA,NA,1
Arundina_graminifolia,Arundina,Orchidaceae,55.039559680000004,30.35860333,3
Colocasia_antiquorum,Colocasia,Araceae,141.0388717,23.26094759,3
Parashorea_chinensis,Parashorea,Dipterocarpaceae,374.9570003,20.019938,1
Gelsemium_elegans,Gelsemium,Gelsemiaceae,299.2776058,20.46107,3
Aquilaria_yunnanensis,Aquilaria,Thymelaeaceae,185.7585139,26.112744,1
Scleropyrum_pentandrum,Scleropyrum,Santalaceae,103.1991744,26.76200227,1
Aporosa_yunnanensis,Aporosa,Euphorbiaceae,460.9563123,35.11623367,1
Rhynchotechum_ellipticum,Rhynchotechum,Gesneriaceae,72.23942208,50.86585636,2
Tabernaemontana_corymbosa,Tabernaemontana,Apocynaceae,99.75920193,35.69290083,2
Dysoxylum_laxiracemosum,Dysoxylum,Meliaceae,127.2789818,21.71472364,1
Symplocos_cochinchinensis,Symplocos,Symplocaceae,509.1159271,28.25136733,1
Artocarpus_lacucha,Artocarpus,Moraceae,429.99656,24.52116733,1
Mycetia_gracilis,Mycetia,Rubiaceae,106.6391469,35.2343175,2
Knema_globularia,Knema,Myristicaceae,NA,NA,1
Metadina_trichotoma,Metadina,Rubiaceae,113.5190918,23.98428944,1
Oreocnide_rubescens,Oreocnide,Urticaceae,569.6594427,14.44736,1
Aegopodium_latifolium,Aegopodium,Apiaceae,196.0784314,25.05035933,3
Alpinia_nigra,Alpinia,Zingiberaceae,185.7585139,29.56324,3
Knema_furfuracea,Knema,Myristicaceae,41.27966976,27.222795,1
Syzygium_megacarpum,Syzygium,Myrtaceae,526.3157895,16.310396,1
Barringtonia_macrostachya,Barringtonia,Lecythidaceae,815.2734778,19.983055,1
Platea_latifolia,Platea,Icacinaceae,288.9576883,31.33585133,1
Litsea_panamanja,Litsea,Lauraceae,368.0770554,21.47593233,1
Dalbergia_mimosoides,Dalbergia,Fabaceae,113.5190918,20.707158,2
Piper_yunnanense,Piper,Piperaceae,58.47953216,44.32855154,2
Gynostemma_pentaphyllum,Gynostemma,Cucurbitaceae,340.5572755,15.60829833,3
Clausena_excavata,Clausena,Rutaceae,381.8369453,17.30309733,2
Balakata_baccata,Balakata,Euphorbiaceae,134.1589267,20.42047778,1
Musa_acuminata,Musa,Musaceae,261.4379085,22.53758367,3
Pittosporopsis_kerrii,Pittosporopsis,Icacinaceae,343.997248,28.12793433,2
Ficus_langkokensis,Ficus,Moraceae,471.2762298,17.36275567,1
Litsea_dilleniifolia,Litsea,Lauraceae,NA,NA,1
Colona_thorelii,Colona,Malvaceae,660.4747162,18.25190467,1
Combretum_wallichii,Combretum,Combretaceae,460.9563123,14.858005,3
Homalomena_occulta,Homalomena,Araceae,110.0791194,36.619646,3
Cissus_javana,Cissus,Vitaceae,189.1984864,21.33093621,3
Calamus_simplicifolius,Calamus,Arecaceae,51.5995872,9.504595714,3
Persicaria_lapathifolia,Persicaria,Polygonaceae,144.4788442,16.803879,3
Garuga_pinnata,Garuga,Burseraceae,632.9549364,11.70238367,1
Hodgsonia_macrocarpa,Hodgsonia,Cucurbitaceae,825.5933953,14.60022933,3
Castanopsis_hystrix,Castanopsis,Fagaceae,171.998624,17.74518619,1
Diospyros_hasseltii,Diospyros,Ebenaceae,309.5975232,9.84466,2
Fissistigma_polyanthum,Fissistigma,Annonaceae,202.9583763,20.04539,2
Dysoxylum_gotadhora,Dysoxylum,Meliaceae,261.4379085,20.003504,1
Eurya_pittosporifolia,Eurya,Pentaphylacaceae,282.0777434,14.638352,1
Begonia_handelii,Begonia,Begoniaceae,NA,NA,3
Artabotrys_honkongensis,Artabotrys,Annonaceae,137.5988992,18.13187643,2
Micromelum_integerrimum,Micromelum,Rutaceae,423.1166151,14.44558897,1
Fissistigma_poilanei,Fissistigma,Annonaceae,96.31922945,14.76538444,2
